query,faiss_latency_ms,qdrant_latency_ms,faiss_chunks,qdrant_chunks,overlap_count,faiss_quality,qdrant_quality,quality_winner,faiss_reason,qdrant_reason,faiss_context_precision,faiss_context_recall,faiss_faithfulness,faiss_answer_relevancy,qdrant_context_precision,qdrant_context_recall,qdrant_faithfulness,qdrant_answer_relevancy
What is the official title of the financial report for IFC's 2024 fiscal year?,277.02,653.54,5,5,2,1.0,1.0,tie,"The chunks directly and explicitly provide the official title of the financial report requested in the question, making them perfectly relevant and useful.",The chunks directly and clearly provide the official title of the financial report for IFC's 2024 fiscal year.,0.99999999998,1.0,1.0,0.9999999999999997,0.99999999998,1.0,0.5,0.44512206294322015
"What was IFC's Net Income for the fiscal year ending June 30, 2024?",292.55,831.54,5,5,2,1.0,0.8,faiss,"Chunks 2 and 5 both directly provide the Net Income for IFC for the fiscal year ending June 30, 2024, which is $672 million, making them highly relevant and useful.","Chunks 4 and 5 explicitly state IFC's Net Income for FY24 as $1,485 million, directly answering the question, while chunks 1, 2, and 3 are irrelevant boilerplate.",0.4499999999775,1.0,1.0,0.9999999999999994,0.32499999998375,1.0,1.0,0.9959158827185589
"What was the total value of IFC's assets as of June 30, 2023?",246.4,690.71,5,5,2,0.2,0.35,qdrant,"Chunk 1 is highly relevant as it explicitly refers to 'Fair value of assets' and 'June 30, 2023' and appears to be the beginning of the table containing the answer, but it is truncated and does not provide the actual numerical total value of assets; the other chunks are irrelevant.","While chunks 1, 2, and 3 are highly relevant as they indicate a table containing financial assets and liabilities for June 30, 2023, they are severely truncated and do not provide the actual total value of assets. Chunks 4 and 5 are less relevant as they focus on trading securities for June 30, 2024, not total assets for June 30, 2023.",0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1.0,0.9999999999999994
What is the stated mission of the International Finance Corporation?,255.03,775.3,5,5,2,1.0,0.9,faiss,"The chunks explicitly state the International Finance Corporation's mission, with Chunk 5 providing the most direct answer and Chunk 1 offering its foundational purpose.","Three of the five chunks explicitly state the mission of the International Finance Corporation, making them highly relevant and useful, although two chunks are irrelevant address information.",0.19999999998,1.0,1.0,0.9778990711725578,0.0,0.0,1.0,0.9803460879088725
What was the revised subscription deadline for the General Capital Increase (GCI) following the April 2024 extension?,309.93,619.42,5,5,2,1.0,1.0,tie,"The chunks explicitly state that the GCI subscription deadline was extended to April 16, 2025, in April 2024, directly answering the question.","All chunks directly state the revised subscription deadline for the GCI following the April 2024 extension, with some chunks providing additional useful context about previous extensions.",0.9999999999666667,1.0,1.0,0.9999999999999997,0.99999999998,1.0,1.0,0.9520785829453972
What was the Income Available for Designations for IFC in FY24?,387.77,441.55,5,5,2,1.0,0.5,faiss,"Chunk 5 directly provides the Income Available for Designations for FY24 as $382 million, while the other chunks offer relevant context on how this income is calculated and changes made in FY24.","The chunks are highly relevant as they discuss 'Income Available for Designations' for 'IFC' in 'FY24' and explain changes in its calculation, but they do not provide the specific numerical value for FY24 that the question asks for.",0.19999999998,1.0,0.5,0.9584653248138214,0.0,0.0,1.0,0.0
"What were IFC's total disbursements, excluding guarantees, in FY24?",373.77,499.51,5,5,2,0.9,0.9,tie,"Chunk 3 directly answers the question by stating 'disbursed $19.1 billion in FY24 excluding guarantees', and Chunk 1 further supports the $19.1 billion disbursement figure for FY24, making the information highly relevant and useful.","Chunks 1, 2, and 3 directly state IFC disbursed $19.1 billion for its own account in FY24 as 'Total Investment Disbursements,' which strongly implies exclusion of guarantees as guarantees are typically commitments, not direct disbursements.",0.9999999999666667,1.0,1.0,0.9990411074754109,0.99999999998,0.0,0.2,0.9744402651685036
What was the approximate value of IFC's outstanding borrowings as of June 2022?,381.06,441.09,5,5,2,0.0,0.2,qdrant,None of the provided chunks contain information about IFC's outstanding borrowings specifically as of June 2022; the closest dates mentioned are June 2023 and June 2024.,"The chunks discuss IFC borrowings and provide a value for outstanding borrowings as of June 2023, but not the requested value for June 2022, making them insufficient to directly answer the question.",0.0,0.0,1.0,0.9999999999999997,0.0,0.0,0.5,0.0
With which accounting principles do IFC's consolidated financial statements conform?,302.29,394.61,5,5,2,1.0,0.9,faiss,Chunk 1 directly and clearly answers the question by stating that IFC's financial statements conform with accounting principles generally accepted in the United States of America (U.S. GAAP); the other chunks provide relevant contextual information about the document's structure.,"The question is directly and completely answered by chunks 1, 2, and 3, which explicitly state that IFC's consolidated financial statements conform with U.S. GAAP; chunks 4 and 5 are less relevant as they do not provide the specific accounting principles.",0.9999999999,1.0,1.0,0.9768189482274746,0.9999999999666667,1.0,1.0,0.9967316420692093
"What was the value attributed to ""PCRF Income"" in the reconciliation to Income Available for Designations for the year ended June 30, 2024?",317.74,623.33,5,5,2,0.9,1.0,qdrant,"Chunks 2 and 3 directly provide the exact answer, stating 'PCRF Income' is '(30)' in the 'Reconciliation of Net income (loss) to Income Available for Designations' for 2024. Chunks 1 and 5 provide excellent contextual information about the PCRF and its role in the reconciliation process for FY24. Chunk 4 also mentions PCRF income for 2024 but in the context of 'OTHER INCOME' with a positive value, which is slightly less relevant for the specific 'reconciliation' context but still related to PCRF income for the year.","The chunks are highly relevant and useful as Chunks 4 and 5 directly provide the requested value for 'PCRF Income' for the year 2024, and Chunks 1, 2, and 3 provide the necessary context about this adjustment for FY24 in the reconciliation table.",0.49999999995,1.0,1.0,0.9999999999999994,0.32499999998375,1.0,1.0,0.9991202903064261
